"d5d6d6","d6d5d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"-0.0037896","0.013344","-0.70141","0.018924","-0.17248","0.63667","0.26903"
"-0.011731","-0.00088871","-0.0078179","-0.10537","0.03104","-0.3844","0.9165"
"-0.026892","0.010477","-0.21336","-0.72357","-0.55954","-0.28666","-0.18663"
