"d5d6d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"-0.025975","-0.0090743","0.83794","-0.35994","-0.0037647","-0.40929"
"-0.024191","-0.013068","0.51025","0.58911","0.34054","0.52524"
"-0.99723","0.047824","-0.040383","-0.023761","0.032375","0.00015024"
