"d3d3d4","d3d3d2","d3d3d3","d2d1d1","d3d2d2","d4d4d4","d5d5d5","d5d3d3","d4d4d3","d1d2d2","d4d3d3","d3d4d4","d2d3d3","d4d3d4","d1d1d1","d2d2d1","d2d2d3","d2d2d2"
"-0.0065976","-0.018701","0.0029284","4.9666e-05","0.49637","0.0060239","0.0019545","0.46425","0.13875","-0.204","-0.57359","0.34602","-0.0094869","0.018153","-0.0093503","-0.16589","0.0031795","2.1409e-16"
"-0.0083443","0.0016288","-0.067013","3.2867e-05","-0.013592","0.30708","-0.62332","-0.045684","0.25068","-0.081228","0.038038","-0.0077211","-0.096753","0.023122","0.18861","0.0022241","0.44922","0.43832"
"-0.9946","0.085305","0.057094","0.00019878","-0.0053099","-0.0064693","0.00047025","-0.0072592","-0.0081107","0.0032755","-0.0040235","0.001357","-0.0015308","0.0040475","-0.0022632","0.0010992","-0.00020191","-6.9364e-17"
