"d10d10d11","d9d9d9","d10d10d10","d11d10d10","d9d9d10","d10d9d9","d11d11d10","d11d11d11","d10d11d11"
"-5.6822e-05","0.0030421","-0.0040836","-0.0088389","-0.05363","0.011422","-0.0055249","0.0064479","-0.99841"
"-0.9991","-0.039044","-0.01405","-0.008769","0.0016199","-0.00092388","-0.00047657","0.0010402","-1.5235e-05"
"-0.040547","0.86092","0.50551","-0.016473","0.025186","-0.022999","-0.012072","-0.0070197","-0.00089078"
