"d5d6d6","d6d5d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"-0.015155","-0.054638","-0.0032027","0.32319","-0.48837","0.44938","-0.47033","-0.30426","-0.37148","0.0098665"
"-0.0085702","-0.046763","-0.0012926","0.57018","-0.42215","-0.15759","0.68527","-7.7716e-16","-9.992e-16","1.648e-17"
"-0.013875","-0.073459","-0.0019082","0.30272","-0.26109","-0.53258","-0.54038","0.32238","0.39359","-0.010454"
