"d5d6d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"-0.0022035","0.01438","-0.013921","-0.99293","0.096859","0.065664"
"-0.010967","0.0053387","0.33503","-0.11409","-0.70901","-0.60983"
"-0.99884","-0.02137","-0.042351","0.0021481","0.0017831","-0.0079654"
