"d5d6d6","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"-0.002392","-0.15084","-0.14381","-0.8033","-0.55792"
"-0.025748","-0.86823","-0.43314","0.24064","-1.5266e-16"
"-0.017025","-0.41027","0.59315","-0.41443","0.55481"
