"d5d6d6","d5d6d5","d6d5d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"-0.0051443","-0.17891","-0.51532","0.6087","-0.025719","-0.27113","-0.44907","-0.23676"
"-0.00094379","-0.24514","0.50095","0.13097","0.095279","0.12893","-0.63962","0.48681"
"-0.00065859","-0.080885","-0.20664","-0.010773","-0.18113","0.91344","-0.15931","-0.24098"
