"d18d18d18","d16d16d15","d18d16d16","d16d16d16","d16d16d17","d9d9d9","d14d14d15","d15d15d16","d17d16d16","d15d15d15","d15d15d14","d14d14d14","d20d15d15","d16d15d15","d17d17d18","d17d17d17","d17d17d16","d15d16d16","d14d15d14","d14d15d15","d18d19d20","d9d16d16","d18d17d17","d16d17d18","d16d17d17","d15d14d15","d15d14d14","d17d20d18"
"-0.0020618","-0.00059973","0.0004702","-0.017799","-0.00038105","0.013908","0.29069","0.040506","0.020015","0.2555","-0.11112","0.01228","-0.058095","0.00062327","-0.0048912","0.15195","0.031545","0","0","0","0","0","0","0","0","0","0","0.89871"
"-0.011777","-0.0025488","-0.003478","0.024665","-0.022561","-0.17951","-0.11447","0.55917","0.17231","0.20201","0.53674","-0.41176","-0.33013","0.010665","-0.053758","0.024494","-0.00012914","-1.4203e-16","-3.6136e-16","-2.1717e-16","-1.648e-17","-3.3957e-16","-2.7279e-16","-9.0585e-17","1.5407e-16","1.8217e-16","-1.5114e-16","-1.0547e-15"
"-0.0059597","0.0037424","-0.00025983","0.0003307","0.6505","-0.015595","0.031797","0.030446","-0.02639","-0.090834","0.04841","-0.020912","0.053406","0.0061735","-0.0097971","0.15433","0.13391","-0.012625","0.068779","0.18726","-0.10505","0.20065","-0.30838","-0.47165","0.24686","0.092302","-0.19966","-0.0058609"
