"d16d16d15","d16d16d16","d9d9d9","d15d15d16","d14d14d15","d15d15d15","d14d14d13","d15d15d14","d14d14d14","d14d13d13","d16d15d15","d13d13d13","d12d12d12","d13d14d14","d13d13d14","d15d16d16","d13d13d12","d14d15d14","d14d15d15","d9d15d15","d15d14d15","d15d14d14","d12d13d13"
"0.060313","0.15509","3.8537e-61","0.073725","0.036909","0.038182","0.019187","0.052551","0.098224","0.043081","0.034603","0.17232","0.025848","0.017232","0.046997","0.043057","0.0086162","3.9117e-14","0.043352","2.4907e-61","2.8523e-36","0.022093","0.0086162"
"1.0637e-14","6.2864e-07","6.3576e-49","0.005931","0.047844","0.0078524","0.0072847","0.073313","0.75032","1.5695e-16","0.008152","2.9372e-12","2.6403e-34","9.9456e-13","0.00635","5.8399e-06","2.2534e-35","0.0041091","0.05496","4.6973e-49","3.8167e-05","0.033842","1.2365e-35"
"3.5681e-09","6.3598e-17","0.00096565","8.1233e-13","0.0010358","0.98753","2.7027e-07","5.6965e-05","2.4383e-09","4.0328e-13","5.1476e-12","1.2685e-12","1.2526e-12","1.4955e-10","1.516e-07","1.258e-06","1.2361e-13","4.6396e-14","0.0025042","0.00096565","0.002888","0.0040557","9.6313e-14"
