"d10d9d10","d9d9d9","d9d10d9","d10d10d10","d9d10d10","d9d9d10","d10d9d9","d5d9d9","d5d5d5","d10d10d9"
"1.3759e-31","0.97618","0.002342","4.0634e-08","0.0049636","0.0076341","0.0088825","3.6723e-07","6.1497e-07","1.2389e-16"
"0.049438","0.17961","1.6429e-44","0.0047344","1.34e-07","0.17299","2.7993e-32","0.049426","0.049418","0.49438"
"4.8392e-11","2.5243e-06","0.00063291","0.96952","0.0094141","0.011846","0.0085862","1.408e-64","1.5397e-64","2.5402e-10"
