"d15d16d15","d16d16d15","d16d16d16","d9d9d9","d10d14d15","d10d10d10","d15d15d16","d14d14d15","d15d15d15","d15d15d14","d14d14d14","d16d15d15","d15d16d16","d14d15d14","d14d15d15","d9d14d15","d15d14d15","d15d14d14","d14d15d16"
"0.001883","5.4228e-010","2.928e-014","5.1875e-008","3.3152e-017","1.9042e-017","2.9579e-008","0.0013737","5.0082e-013","6.1971e-007","0.9944","2.5916e-008","1.2327e-009","0.0013553","6.0299e-008","5.2725e-008","2.3492e-028","0.0009822","2.373e-028"
"0.00059915","0.051257","0.18591","0.0026975","0.0026977","0.0026977","0.045861","0.032301","0.42355","0.037766","5.8339e-005","0.05935","0.051257","1.6208e-006","0.037768","0.0026975","0.0053955","0.047348","0.010791"
"6.0717e-021","5.6225e-009","1","5.0886e-044","5.41e-012","1.7033e-012","1.991e-007","1.1124e-020","3.577e-010","5.6977e-013","1.4869e-015","8.093e-012","7.4963e-009","2.3211e-149","1.3851e-012","4.2581e-044","6.9914e-060","4.2544e-017","1.0573e-018"
