"d9d9d9","d9d9d8","d8d9d9","d10d10d10","d9d10d10","d9d9d10","d10d9d9","d5d9d9","d8d8d8","d8d8d9","d9d8d8","d5d5d5","d10d10d9"
"1.6794e-05","0.034763","0.030333","3.9075e-07","0.0072837","4.888e-19","1.8415e-06","2.5092e-151","0.85943","0.033571","0.031749","7.7419e-151","0.0028467"
"0.32389","2.5344e-17","5.5612e-13","0.46075","0.042596","0.065821","0.047866","7.0862e-40","1.1257e-26","2.7299e-15","2.9959e-14","1.1563e-39","0.059083"
"0.9923","0.00029749","4.8734e-08","3.3321e-32","1.6018e-09","1.0694e-29","1.112e-12","0.0012015","5.764e-06","0.0044689","0.00052859","0.0012015","4.1324e-13"
