"d12d11d11","d9d9d9","d12d11d12","d9d11d11","d11d12d12","d12d12d12","d11d11d12","d11d11d11"
"0.15411","3.1978e-124","0.30822","2.4395e-123","9.3168e-07","0.36192","0.15411","0.02163"
"1.3264e-42","0.00078687","2.215e-43","0.00078687","1.5973e-46","1.7874e-41","2.3786e-43","0.99843"
"6.1573e-194","1.2393e-267","5.4391e-11","1.8436e-266","0.016999","0.983","2.5146e-194","3.5744e-22"
