"d9d9d9","d9d9d8","d19d19d18","d19d19d19","d8d7d7","d17d18d18","d6d6d6","d18d17d17","d16d17d17","d12d13d13","d19d19d20","d8d9d9","d17d16d16","d8d9d8","d16d15d15","d13d13d13","d13d13d12","d12d11d11","d11d8d8","d19d20d20","d8d8d8","d8d8d9","d9d8d8","d8d8d7","d10d11d11","d10d10d9","d18d18d18","d16d16d15","d18d18d17","d16d16d16","d10d10d11","d16d16d17","d19d18d18","d10d10d10","d20d20d20","d18d18d19","d11d10d10","d10d9d9","d11d12d12","d15d16d16","d9d15d15","d20d18d18","d9d9d10","d13d12d12","d6d7d7","d15d15d16","d9d10d10","d15d15d15","d20d20d19","d12d12d12","d17d17d18","d12d12d11","d17d17d17","d20d19d19","d7d6d6","d17d17d16","d20d19d18","d7d8d8","d11d11d10","d11d11d12","d7d7d8","d11d11d11","d18d19d19","d7d7d7"
"-0.39628","-0.0032337","0.0011819","-0.0014562","-0.00016113","-7.9576e-05","-0.0013115","0.001157","-0.00015941","-0.00037928","-0.00020423","-0.0032065","0.0014465","-0.00084996","0.0097573","-0.00090141","-0.00018283","-0.00058274","-0.00027908","-0.00019067","-0.092224","-0.0050635","-0.0033635","-0.00058825","-0.00045346","-0.0017718","-0.00036749","0.0084182","0.0010619","0.032479","-0.00025785","-0.00020364","-0.00020158","-0.10699","-0.0014395","-9.5558e-05","-0.0013486","-0.0015502","-5.3352e-05","0.0087997","0.0018391","0.00048183","-0.0017581","-0.00060147","-0.00032718","0.0039532","-0.0016742","0.90629","0.0012657","-0.0042765","-9.4542e-05","-0.00092682","-7.6219e-05","-0.00045514","-0.00031817","0.00087655","-0.00052285","-0.00015631","-0.001437","-0.00022266","-0.00061947","-0.011007","-0.00021959","-0.010046"
"-0.56235","-0.00218","-8.5655e-05","0.0030505","0.00018889","0.00021464","0.0023669","0.0010729","0.00046667","0.00071229","0.00038968","-0.0016131","0.0013123","7.4743e-06","-0.0008862","0.0016905","0.00034721","0.0014321","0.00030219","0.00034267","0.046197","-0.004494","-0.0025689","0.00079603","0.003039","-0.0016547","0.0031103","-0.0010529","0.0008939","0.014402","0.0016185","0.00075054","0.00056189","0.81037","0.0026859","0.00018245","0.0097226","0.0028157","0.00011987","-0.001256","-0.0003268","0.00017287","0.0028321","0.0013145","0.00057104","-7.4437e-05","-0.0013495","-0.14509","-9.1727e-05","0.012666","0.00018051","0.004856","0.0071346","0.0009629","0.00055532","0.0009746","0.0011779","0.00026459","0.010485","0.00087285","0.00075057","0.05257","0.00041719","0.018312"
"-0.39368","0.008416","2.7084e-05","0.0053839","0.0018253","0.00039245","0.0050646","0.0021984","0.00086549","0.0011221","0.00067654","0.0078128","0.0027854","0.0053027","-5.7565e-05","0.002667","0.00054056","0.0015045","0.0033981","0.00058608","0.83866","0.0086926","0.0074685","0.0055828","-0.00084922","-0.0019194","0.0057776","-0.00062996","0.0019023","0.034189","-0.00036621","0.001422","0.0010324","-0.34616","0.0046382","0.00031904","-0.0032268","-0.0029495","0.00014645","-0.00095244","-0.00029496","0.0004226","-0.0020604","0.0016575","0.0016955","0.00053732","-0.00040207","-0.12801","2.9004e-05","0.0084324","0.00031565","-0.00032853","0.013658","0.0017026","0.0016488","0.0020488","0.0021069","0.00099303","-0.0035833","0.00022778","0.0067174","0.0022841","0.00072173","0.058616"
