"d3d3d4","d3d3d2","d9d9d9","d3d3d3","d9d9d8","d3d3d1","d3d2d1","d3d2d2","d8d7d7","d6d5d5","d6d6d6","d6d6d7","d6d6d5","d9d14d14","d6d6d8","d4d5d4","d4d5d5","d8d9d9","d14d14d15","d14d14d13","d14d14d14","d16d15d14","d8d8d10","d16d15d15","d4d4d4","d13d13d13","d4d4d5","d13d13d14","d11d10d9","d4d4d1","d5d6d6","d4d4d3","d4d3d3","d15d18d15","d3d4d4","d9d12d10","d8d8d8","d8d8d9","d9d8d7","d9d8d8","d10d11d11","d15d14d14","d8d8d7","d10d10d9","d16d16d15","d16d16d16","d10d10d11","d5d4d4","d10d10d10","d11d10d10","d10d9d8","d5d5d8","d10d9d9","d11d10d11","d5d5d6","d11d12d12","d5d5d4","d5d5d5","d15d16d16","d10d9d10","d2d3d2","d2d3d3","d11d4d4","d9d9d10","d2d2d3","d2d2d2","d9d10d11","d6d7d7","d8d9d10","d15d15d16","d9d10d10","d15d15d15","d15d15d14","d2d1d2","d2d1d1","d12d12d12","d12d12d11","d7d6d6","d8d11d9","d14d15d15","d1d2d2","d1d1d2","d7d8d8","d11d11d10","d1d1d1","d7d7d8","d14d16d15","d1d3d3","d11d11d11","d7d7d9","d7d7d6","d7d7d7"
"-0.00038382","-0.00025427","-0.1711","-0.0057063","-0.0028212","-0.0013411","-0.00049416","-0.0013068","-0.00051814","-0.0011811","-0.086891","-0.0017384","-0.0014816","0.0013338","-0.00022759","-0.000552","-0.0027076","-0.00081602","0.0024669","-0.00010463","0.95814","-0.00025587","-0.00029833","0.0056416","-0.017296","-0.036672","-0.00031673","0.0021051","-0.0010141","-0.00044376","-0.0017384","-0.0016211","-0.0010406","0.0029595","-0.00036532","-0.0012778","-0.10798","-0.0011894","-0.00019279","-0.0013472","-0.0021635","0.0012455","-0.0024763","-0.0032279","0.00042794","0.0035192","-0.0015399","-0.0023565","-0.059311","-0.002156","-0.00021516","-0.00056872","-0.0028069","-0.00049387","-0.0010269","-0.00015775","-0.00093758","-0.040117","0.0020947","-0.00019878","-0.00035775","-0.00043238","-0.00029094","-0.00098388","-0.0004198","-0.006251","-0.0011505","-0.0048515","-0.000402","0.00063038","-0.002247","0.0031849","0.0064852","-0.00056637","-0.0015217","-0.00060094","-0.00016686","-0.0022451","-0.0012778","0.0012275","-0.0019487","-0.0013707","-0.00046912","-0.0015457","-0.0024477","-0.00080674","0.0029595","-0.00046701","-0.0080794","-0.0014768","-0.0019323","-0.16214"
"-0.0003168","-0.00020125","-0.32599","-0.0045741","0.0016135","-0.0011249","-0.00039919","-0.0010182","0.0015261","-3.8311e-05","0.067311","0.0072869","0.00047844","0.00010186","-0.00010841","-0.00046398","-0.00164","-0.0010822","-2.3285e-05","-0.00089917","0.082914","-0.00037315","-0.00042273","-0.00015016","-0.010241","-0.045856","-0.00026414","-0.00027461","0.00167","-0.00036627","0.0035374","-0.0013203","-0.00083122","-1.3053e-06","-0.00028758","-0.0016336","-0.13216","-0.0019382","-9.1833e-05","0.0020857","-0.00082047","-0.00010718","0.011177","-0.00059639","-0.00017406","-0.0015294","-0.0014669","-0.0017521","-0.059638","-0.0026061","-0.00010249","0.0016751","-0.0019038","-0.00045733","-0.00027189","-0.00022353","-0.00059692","-0.027985","-0.00013242","-9.4686e-05","-0.00028315","-0.00034093","-0.00022825","-0.0014208","-0.00033048","-0.0049176","-0.0016927","0.022088","0.0011841","-0.00047757","-0.0017977","-0.00051881","0.00021225","-0.00045752","-0.0011989","-0.00085151","-0.00023644","0.0078377","-0.0016336","-2.7236e-05","-0.0016085","-0.001079","0.0023521","-0.0013693","-0.0019106","0.0014529","-1.3053e-06","-0.00038546","-0.0069369","0.005951","0.0068141","0.92591"
"0.00066734","0.00026646","-0.35541","0.0069225","-0.0031935","0.0027152","0.0006623","0.00089272","0.00052803","0.010305","0.89755","0.0028874","0.0088993","-2.7882e-05","-2.688e-06","0.0011197","0.011381","-0.00071888","1.6035e-05","0.00018545","-0.0064136","4.9148e-05","-0.00026464","4.9759e-05","0.0528","0.0095136","0.00057675","8.1127e-05","-0.00071977","0.00077155","0.0071424","0.0023938","0.001193","1.5586e-05","0.00029665","-0.0006136","-0.014524","-0.0015513","-2.277e-06","0.0010342","-0.00087473","2.0887e-05","-0.00097281","-0.0051376","2.5697e-05","0.0002252","-2.5734e-05","0.0052403","-0.00017044","-0.0013382","-2.5412e-06","0.00057958","-0.0015806","3.6168e-05","0.0066679","-0.00013993","0.0029683","0.17252","2.8734e-05","-2.3477e-06","0.0003749","0.00040895","0.00023538","-0.0010182","0.00034089","0.0053078","-0.0015017","0.0041913","0.00040967","6.7876e-05","-0.0028167","8.6504e-05","5.2524e-06","0.00075907","0.0013624","-0.00053305","-0.00014801","0.0051137","-0.0006136","1.0021e-05","0.003385","0.0011883","-0.00067864","9.3297e-05","0.0018078","-0.00057213","1.5586e-05","0.00081197","0.00027487","0.0022086","0.0036186","-0.18575"
