"d9d9d9","d19d19d18","d19d19d19","d17d18d17","d17d18d19","d10d19d19","d17d18d18","d16d17d15","d18d17d16","d18d17d17","d16d17d18","d16d17d17","d16d17d16","d18d17d18","d19d19d20","d8d9d9","d17d16d15","d18d18d20","d17d16d16","d14d14d15","d17d16d17","d16d15d16","d14d14d14","d16d15d15","d16d18d18","d9d19d19","d1d17d16","d19d20d20","d19d16d17","d8d8d8","d19d17d16","d8d8d9","d15d14d15","d9d8d8","d15d14d14","d18d18d18","d16d16d15","d19d18d16","d19d18d17","d18d16d16","d16d16d16","d18d18d17","d18d18d16","d16d16d17","d16d16d18","d16d16d6","d19d18d18","d18d16d17","d10d10d10","d20d20d20","d18d18d19","d19d18d19","d16d15d1","d19d20d18","d16d1d6","d15d13d14","d19d20d19","d6d8d14","d15d16d17","d10d10d18","d15d16d16","d20d18d16","d16d14d15","d20d18d17","d20d18d18","d16d14d14","d18d19d20","d17d15d15","d6d15d16","d15d15d16","d15d15d15","d14d13d15","d15d15d14","d20d20d19","d18d15d18","d18d20d19","d17d17d18","d17d17d17","d20d19d19","d20d20d18","d17d17d16","d20d19d18","d10d18d20","d14d15d15","d17d19d20","d17d13d15","d20d19d20","d17d13d17","d19d13d17","d18d19d18","d18d19d19","d17d18d20","d18d19d17"
"7.5134e-014","0.022019","0.17184","0.0021751","0.0018496","0.0011611","0.017922","0.00066766","0.00023708","0.014377","0.0022574","0.012858","0.00087698","0.0049371","0.011315","3.005e-022","0.0017675","0.0046333","0.0071215","0.0021855","0.0013788","0.0006058","0.0018549","0.0027198","0.002004","0.00070723","7.7734e-015","0.014628","0.0015534","5.762e-022","0.0021297","2.8096e-022","0.0012806","5.2817e-022","0.00085328","0.2719","0.003687","0.00094375","0.0014414","0.0015973","0.0292","0.012803","0.0026915","0.0085308","0.0012789","5.2782e-015","0.019597","0.00094405","0.00098091","0.061121","0.024967","0.0043985","3.9323e-015","0.00057061","0.0014162","0.0011504","0.0070484","0.0015533","0.00051548","0.00079767","0.0069712","0.0015525","0.00085961","0.0034101","0.0028928","0.0011327","0.0070306","0.0019883","2.5908e-014","0.0021476","0.006432","0.0010487","0.0015196","0.01425","6.1645e-015","0.0013985","0.01738","0.090001","0.013565","0.0029851","0.0068266","0.0045411","0.00135","0.0010828","0.001035","0.0015534","0.0024588","0.0014162","0.00094278","0.0078739","0.022558","0.0013359","0.0014161"
"0.14306","4.5993e-016","3.6695e-019","4.9799e-021","1.0079e-020","3.0136e-021","8.6603e-016","4.9612e-022","0.11273","1.4193e-020","0.00040463","6.6628e-017","1.0446e-020","1.8238e-020","1.0075e-019","0.03963","8.1358e-022","1.8021e-020","4.1977e-014","1.4152e-021","1.7364e-021","7.9235e-021","7.0474e-023","9.8766e-021","1.6589e-022","1.9286e-019","0.062911","6.1677e-019","7.728e-023","0.27811","2.9216e-021","0.04577","2.5138e-020","0.047453","5.417e-022","3.3872e-019","1.0144e-020","8.914e-022","8.2018e-022","1.7203e-021","8.8454e-019","1.106e-019","5.2139e-021","3.3274e-017","3.1127e-022","0.069006","4.0042e-020","5.8084e-021","6.3154e-022","1.3808e-020","4.4915e-020","7.0152e-021","0.062911","3.095e-021","3.1971e-023","4.4476e-022","4.6457e-021","1.4714e-021","4.22e-022","1.3736e-020","1.5379e-020","4.9511e-021","3.299e-021","9.129e-021","6.3511e-022","4.8051e-021","1.4867e-020","1.9447e-021","0.069006","2.3985e-021","7.7265e-021","6.2324e-022","1.0488e-021","5.0474e-020","0.069006","3.1011e-021","5.4666e-020","2.3001e-019","2.5898e-019","1.1546e-021","7.7566e-021","3.3512e-020","9.4004e-022","5.3906e-022","2.0004e-021","5.9884e-022","2.7119e-020","3.0893e-023","3.7812e-020","3.0206e-021","1.0494e-016","7.9524e-022","2.5105e-022"
"3.4667e-013","0.029341","0.18035","0.0034445","0.0041791","0.0012425","0.02255","0.00070618","0.0080768","0.0055557","0.0027246","0.0080694","0.0028849","0.0057437","0.023799","7.1004e-021","0.00016691","0.0011597","0.034706","0.0016968","0.0007195","0.00357","0.00070419","0.0040075","5.1511e-005","0.0019026","9.7583e-015","0.06253","7.596e-005","6.3083e-021","0.0043425","1.5411e-021","0.0032183","1.7817e-021","9.1822e-005","0.019214","0.003779","0.00088","0.00052066","0.0031532","0.043097","0.042976","0.003921","0.00048485","0.00027385","4.1964e-015","0.024763","0.00023508","0.00088023","0.0023465","0.017716","0.0032232","3.5002e-015","0.00049343","3.7899e-005","0.00055381","0.0025918","0.00022319","9.1566e-005","0.003227","0.0022352","0.0019613","0.0049347","0.0013493","0.00063245","0.00070701","0.0081665","0.00043601","3.5609e-014","0.0015475","0.0075556","0.00070364","0.00032475","0.0039986","7.6337e-015","0.00020327","0.0030245","0.15547","0.16928","0.0016624","0.0051811","0.0038133","0.0016993","6.2509e-006","0.0014405","0.00019237","0.0016084","3.7639e-005","0.002953","0.0042869","0.02179","0.00013302","0.00036822"
