"d6d6d6","d6d6d7","d8d8d8","d7d7d8","d8d8d7","d7d6d6","d7d7d6","d7d7d7"
"-0.017118","0.99929","0.0030942","-0.032883","-0.0013076","-0.0054317","-1.2802e-17","-2.0723e-18"
"-0.0049543","0.016935","-0.0081176","0.5485","-0.83589","0.0073106","2.8293e-16","-1.08e-16"
"-0.021613","-0.0022401","0.6866","0.007532","-0.001626","0.0018996","0.72593","-0.032847"
