"d12d11d11","d10d10d11","d10d10d10","d11d10d10","d11d11d10","d11d12d12","d12d12d12","d11d11d12","d11d11d11","d10d11d11","d12d12d11"
"-0.0058393","0.0017573","-0.0082074","-0.065787","-0.51072","-0.044681","0.59188","0.43507","-0.031099","0.0013388","0.43836"
"-0.00039542","0.010937","-0.0098333","-0.090281","0.085923","0.72718","0.12652","0.031377","0.65821","0.072135","0.0049523"
"-0.0058818","0.96036","0.27804","-0.014736","1.5231e-005","-0.011735","-0.0021341","0.00077882","-0.00033729","-0.0014289","-2.3553e-005"
