"d10d10d11","d9d9d9","d9d9d8","d10d10d10","d11d10d10","d10d9d9","d11d12d12","d9d9d10","d12d13d13","d8d9d9","d13d12d12","d8d9d8","d9d10d10","d12d12d12","d13d13d13","d12d12d11","d13d13d12","d12d11d11","d11d8d8","d8d8d8","d11d11d10","d8d8d9","d11d11d12","d10d11d11","d11d11d11","d9d8d8","d10d10d9"
"-4.2295e-05","-0.00016651","-0.0059247","0.016776","0.0098945","-0.021058","0.0044754","-0.081312","0.033079","0.037456","-0.086605","0.068542","0.017055","0.0045552","0.18992","-0.0043518","-0.079671","-0.32945","0.048244","0.2305","0.0026169","0.77285","-0.41613","-0.002647","-0.0002186","-0.024377","0"
"-0.98969","-0.13525","0.043043","0.0041999","0.00071779","-0.00088357","-0.011932","-0.0072622","-0.0047681","0.00055394","0.0023621","0.00025072","-0.010999","0.00044631","0.00072009","0.00026368","-2.8428e-05","0.00016663","-1.3661e-05","-6.9865e-05","0.0012628","4.6829e-07","-3.9643e-07","0.0010779","-0.00046451","8.401e-07","3.8164e-17"
"-0.0082434","0.020544","2.1477e-06","-2.1023e-05","-5.2255e-05","-0.0013439","0.18481","-0.02222","0.25857","-0.23591","0.05053","-0.038098","0.21753","0.83392","-0.026937","0.068887","0.00033069","-0.0060063","-0.045647","0.015467","-0.22349","-0.00024276","-0.0011459","0.19165","-0.03298","1.6213e-05","-6.6613e-16"
