"d12d11d11","d10d10d11","d10d10d10","d11d10d10","d11d11d10","d11d12d12","d12d12d12","d11d11d12","d10d11d10","d11d11d11","d12d12d11","d10d11d11"
"-0.0066944","0.0036888","-0.02775","0.13241","-0.056038","0.52805","-0.24921","0.47703","0.14962","-0.00057993","-0.62186","0.029964"
"-0.00056035","0.015565","-0.019165","-0.11005","-0.027655","-0.022986","0.42668","-0.032936","0.73296","-0.43547","-0.071834","-0.26613"
"-0.0084785","0.96306","0.26548","0.024807","-0.033815","-0.00055562","0.0041408","0.0029036","-0.0057995","0.01173","0.0010419","0.0013595"
