"d6d6d6","d6d7d7","d6d6d7","d7d6d6","d7d7d7"
"-0.02224","0.99921","0.032382","-0.0034344","-0.0053081"
"-0.01579","0.024112","-0.76646","-0.56866","0.29721"
"-7.3622e-05","0.0095288","-0.099898","0.5636","0.81993"
