-0.0078736,0.0039064,0.00024705,-0.032199,-0.79152,0.047714,-0.041324,0.44684,0.0034937,0.00096374,-0.41075
-0.0053677,-0.028413,0.082604,-0.0012164,0.01382,0.30368,0.31534,0.014745,0.87783,-0.17226,-1.2768e-15
-0.012626,0.0063105,0.00056569,0.99877,-0.043914,0.0076748,-0.013437,-0.0081981,0.0047052,0.001256,-2.2204e-16
-0.031416,-0.21718,-0.39873,0.0025871,-0.042963,-0.80941,-0.11481,-0.00084376,0.32828,-0.12213,-6.9389e-18
-0.03015,-0.20246,-0.8597,-0.0015624,0.027519,0.45853,-0.061503,-0.0039308,-0.056479,0.031928,7.6328e-17
-0.0077149,0.0038176,0.00022456,-0.026957,-0.5531,0.0319,-0.0085463,-0.25949,0.0053818,0.0013405,0.79046
-0.0063036,0.00311,0.00016733,-0.017789,-0.24667,0.012362,0.022488,-0.85535,0.006204,0.0014608,-0.45438
-0.010914,-0.033855,0.10971,-0.01116,0.031785,0.091824,-0.69528,-0.022467,0.32821,0.62088,-6.9389e-17
-0.13366,-0.94277,0.26617,0.0049373,-0.0032567,0.069911,0.078087,0.00081806,-0.10253,0.030799,-5.5511e-17
-0.9898,0.14101,0.00031983,-0.01267,0.013044,-0.0024987,0.006511,0.0044171,-0.003486,-0.0009987,-2.7756e-17
-0.0081584,-0.033467,0.11058,-0.0076417,0.028458,0.15984,-0.62576,-0.023444,0.009999,-0.75362,-5.2042e-18
