1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:20.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:14.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
1:0.0	2:0.0	3:13.0	4:0.0	5:0.0	6:0.0	7:1.0	8:1.0	9:9.0	10:1.0	11:2.0	12:1.0	13:1.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0	19:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:40.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
1:1.0	2:0.0	3:8.0	4:0.0	5:0.0	6:0.0	7:1.0	8:1.0	9:3.0	10:0.0	11:24.0	12:0.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:1.0	19:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:15.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
1:0.0	2:0.0	3:20.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:26.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:23.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
1:0.0	2:1.0	3:5.0	4:0.0	5:0.0	6:0.0	7:2.0	8:1.0	9:2.0	10:0.0	11:10.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:1.0	19:0.0
1:0.0	2:1.0	3:7.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:8.0	10:0.0	11:0.0	12:1.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:1.0	19:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:30.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:1.0	10:1.0	11:25.0	12:1.0	13:1.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0
