1:0.0	2:20.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:18.0	3:0.0
1:0.0	2:11.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:12.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:21.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:14.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:14.0	3:0.0
1:0.0	2:14.0	3:0.0
1:0.0	2:15.0	3:0.0
1:0.0	2:15.0	3:0.0
1:0.0	2:14.0	3:0.0
1:0.0	2:13.0	3:0.0
1:0.0	2:14.0	3:0.0
1:0.0	2:17.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:16.0	3:0.0
1:0.0	2:17.0	3:0.0
1:1.0	2:38.0	3:1.0
1:0.0	2:20.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:62.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:19.0	3:0.0
1:0.0	2:23.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:10.0	3:0.0
1:0.0	2:10.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:10.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:34.0	3:0.0
1:0.0	2:11.0	3:0.0
1:0.0	2:17.0	3:0.0
1:0.0	2:30.0	3:0.0
1:0.0	2:15.0	3:0.0
1:0.0	2:19.0	3:0.0
1:0.0	2:18.0	3:0.0
1:0.0	2:19.0	3:0.0
1:0.0	2:13.0	3:0.0
1:0.0	2:14.0	3:0.0
1:0.0	2:17.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:19.0	3:0.0
1:0.0	2:40.0	3:0.0
1:0.0	2:20.0	3:0.0
1:0.0	2:30.0	3:0.0
