1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:20.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:26.0	13:0.0	14:0.0	15:0.0	16:1.0	17:0.0	18:2.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:2.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:11.0	13:0.0	14:1.0	15:0.0	16:0.0	17:0.0	18:7.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:32.0	13:0.0	14:1.0	15:0.0	16:1.0	17:0.0	18:6.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:0.0	10:0.0	11:0.0	12:13.0	13:0.0	14:1.0	15:0.0	16:0.0	17:0.0	18:3.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:6.0	13:1.0	14:0.0	15:1.0	16:0.0	17:0.0	18:2.0
1:29.0	2:2.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:7.0	13:1.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:9.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:2.0
1:13.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:1.0	11:0.0	12:18.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:5.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:17.0	13:0.0	14:1.0	15:0.0	16:0.0	17:0.0	18:3.0
1:5.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:13.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:1.0	11:0.0	12:9.0	13:0.0	14:1.0	15:0.0	16:0.0	17:0.0	18:2.0
1:4.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:30.0	13:0.0	14:1.0	15:1.0	16:1.0	17:0.0	18:3.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:12.0	13:0.0	14:1.0	15:0.0	16:1.0	17:0.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:0.0	10:0.0	11:0.0	12:11.0	13:0.0	14:1.0	15:0.0	16:0.0	17:0.0	18:1.0
1:0.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:6.0	13:0.0	14:1.0	15:1.0	16:1.0	17:0.0	18:4.0
1:1.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:5.0	13:0.0	14:1.0	15:0.0	16:1.0	17:0.0	18:5.0
1:5.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:8.0	13:1.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:1.0	11:0.0	12:5.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:6.0
1:1.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:2.0	13:0.0	14:0.0	15:0.0	16:1.0	17:0.0	18:8.0
1:1.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:2.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:12.0
1:12.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:17.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0
1:1.0	2:0.0	3:1.0	4:0.0	5:0.0	6:1.0	7:0.0	8:0.0	9:1.0	10:1.0	11:0.0	12:2.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:9.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:4.0	13:0.0	14:2.0	15:0.0	16:1.0	17:0.0	18:10.0
1:6.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:1.0	12:21.0	13:0.0	14:0.0	15:1.0	16:1.0	17:0.0	18:8.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:20.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:21.0	13:1.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0
1:16.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:33.0	13:0.0	14:1.0	15:1.0	16:1.0	17:0.0	18:9.0
1:1.0	2:1.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:11.0	13:0.0	14:1.0	15:0.0	16:0.0	17:0.0	18:5.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:1.0	11:0.0	12:19.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:9.0
1:0.0	2:1.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:27.0	13:1.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:10.0	13:0.0	14:1.0	15:0.0	16:1.0	17:0.0	18:6.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:23.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:30.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0
1:13.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:13.0	13:1.0	14:2.0	15:1.0	16:0.0	17:0.0	18:8.0
1:3.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:3.0	13:1.0	14:1.0	15:1.0	16:1.0	17:0.0	18:10.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:0.0	12:36.0	13:0.0	14:1.0	15:0.0	16:0.0	17:0.0	18:2.0
1:7.0	2:1.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:20.0	13:1.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:0.0	12:3.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:6.0
