1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:14.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:15.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:26.0	5:0.0
1:0.0	2:0.0	3:0.0	4:23.0	5:0.0
1:0.0	2:0.0	3:0.0	4:23.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:24.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:18.0	5:0.0
1:0.0	2:0.0	3:0.0	4:26.0	5:0.0
1:0.0	2:0.0	3:0.0	4:25.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:24.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:23.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:15.0	5:0.0
1:0.0	2:0.0	3:0.0	4:32.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:18.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:17.0	5:0.0
1:0.0	2:0.0	3:0.0	4:19.0	5:0.0
1:1.0	2:0.0	3:1.0	4:28.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:17.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:23.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:29.0	5:0.0
1:0.0	2:0.0	3:0.0	4:15.0	5:0.0
1:0.0	2:0.0	3:0.0	4:34.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:35.0	5:0.0
1:0.0	2:1.0	3:0.0	4:38.0	5:1.0
1:0.0	2:0.0	3:0.0	4:18.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:24.0	5:0.0
1:0.0	2:0.0	3:0.0	4:24.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:33.0	5:0.0
1:0.0	2:0.0	3:0.0	4:23.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:18.0	5:0.0
1:0.0	2:0.0	3:0.0	4:28.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
1:0.0	2:0.0	3:0.0	4:40.0	5:0.0
1:0.0	2:0.0	3:0.0	4:17.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:20.0	5:0.0
1:0.0	2:0.0	3:0.0	4:30.0	5:0.0
