1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:10.0	8:1.0	9:0.0	10:6.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:1.0	21:0.0	22:0.0	23:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:14.0	8:1.0	9:1.0	10:8.0	11:0.0	12:0.0	13:0.0	14:4.0	15:1.0	16:0.0	17:0.0	18:0.0	19:0.0	20:1.0	21:0.0	22:0.0	23:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:20.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:13.0	8:0.0	9:0.0	10:5.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:1.0	7:25.0	8:1.0	9:0.0	10:4.0	11:1.0	12:0.0	13:0.0	14:4.0	15:0.0	16:0.0	17:1.0	18:0.0	19:0.0	20:1.0	21:0.0	22:0.0	23:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:6.0	8:0.0	9:0.0	10:10.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:2.0	8:1.0	9:0.0	10:1.0	11:1.0	12:0.0	13:0.0	14:4.0	15:1.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:38.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:1.0	21:0.0	22:0.0	23:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:4.0	8:0.0	9:0.0	10:3.0	11:1.0	12:0.0	13:0.0	14:2.0	15:1.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:1.0	7:28.0	8:0.0	9:0.0	10:8.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:2.0	21:0.0	22:0.0	23:1.0
1:0.0	2:1.0	3:0.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:1.0	10:7.0	11:0.0	12:1.0	13:0.0	14:7.0	15:0.0	16:0.0	17:1.0	18:1.0	19:0.0	20:1.0	21:0.0	22:0.0	23:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:20.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:5.0	8:0.0	9:0.0	10:3.0	11:1.0	12:0.0	13:0.0	14:3.0	15:0.0	16:0.0	17:1.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:28.0	8:1.0	9:0.0	10:6.0	11:1.0	12:0.0	13:0.0	14:2.0	15:0.0	16:0.0	17:1.0	18:0.0	19:0.0	20:1.0	21:0.0	22:0.0	23:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:6.0	8:0.0	9:0.0	10:2.0	11:1.0	12:0.0	13:0.0	14:3.0	15:1.0	16:0.0	17:0.0	18:0.0	19:0.0	20:1.0	21:0.0	22:0.0	23:0.0
