"d3d3d4","d9d9d9","d3d3d3","d3d3d1","d3d2d1","d3d2d2","d5d5d6","d5d5d5","d6d5d5","d6d6d6","d6d6d7","d2d3d3","d6d6d5","d2d2d3","d2d2d2","d9d6d6","d6d7d7","d2d1d1","d3d1d2","d4d4d4","d4d4d5","d7d6d6","d1d2d2","d4d3d3","d3d4d3","d1d1d2","d3d4d4","d4d3d2","d8d8d8","d1d1d1","d1d3d2","d7d7d6","d7d7d7"
"-0.00054014","-0.047813","-0.0069175","-0.00029822","-0.00038952","-0.00031772","0.0029969","-0.0066296","0.0016741","0.78567","-0.00026568","-0.00029822","0.001315","-0.00090541","-0.005095","0.0011248","-0.0080707","-0.0018951","-0.00081618","-0.016244","-0.00054014","-0.0037328","-0.00090967","-0.0011202","-0.00073639","-0.00060992","-0.00028571","-0.0010541","-0.22943","-0.0022264","-0.00034734","0.00038581","-0.57211"
"0.00068189","0.066185","0.0087306","0.00037411","0.00049657","0.00039858","-0.00030153","0.027348","5.6749e-06","-0.25016","-0.0016132","0.00037411","-0.00032176","0.0011469","0.0064035","-0.00012203","-0.0098016","0.0024025","0.0010304","0.020723","0.00068189","-0.006538","0.0011475","0.0014155","0.00092963","0.00076997","0.00036423","0.0013501","0.72264","0.0028076","0.00043573","-0.0062025","-0.6398"
"0.0034732","0.64711","0.045014","0.0018815","0.0027167","0.0020046","0.0022827","0.20487","0.0026264","-0.36474","-0.0010976","0.0018815","-0.00046858","0.0059924","0.032444","0.00077682","-0.0040471","0.012703","0.0052482","0.11359","0.0034732","-0.0032962","0.0059476","0.007328","0.0047351","0.0039219","0.0019927","0.0075588","-0.51274","0.014374","0.0021914","-0.0043064","-0.35586"
