"d15d16d15","d16d16d15","d16d16d16","d10d10d11","d9d9d9","d10d14d14","d10d10d14","d8d10d10","d10d10d10","d15d16d16","d9d14d14","d9d4d4","d8d9d9","d15d15d16","d14d14d15","d14d13d14","d15d15d15","d4d4d8","d15d15d14","d14d14d13","d14d14d14","d14d13d13","d16d15d15","d13d14d14","d4d4d4","d13d13d13","d13d13d14","d14d15d14","d14d15d15","d8d8d8","d14d16d15","d15d14d15","d15d14d14","d11d11d11"
"0.0016079","0.0013193","0.013776","0.00088749","0.0006992","-0.001121","-0.00081757","0.00090189","-2.2828e-005","0.00034666","-0.00064977","0.001184","0.00071034","0.0007907","-0.0008304","0.0035267","0.003242","0.0012987","-0.00073449","0.0030775","-0.56819","0.0028064","0.00042362","0.0052508","0.0013935","0.82272","0.00087495","-0.00061664","-0.00057372","0.0033233","-0.00076558","0.00024274","-0.0010328","0.00080927"
"-0.0576","-0.058684","-0.47478","-0.01679","-0.017409","-0.0062475","0.0010556","-0.017063","-0.011681","-0.029893","0.0006477","-0.0224","-0.013439","-0.031047","-0.029651","0.00081762","-0.10793","-0.02457","-0.033121","0.00097359","0.7028","0.0018054","-0.027855","-0.0019317","-0.026363","0.49428","0.00095644","-0.00034992","-0.042095","-0.062874","-0.00028759","-0.015561","-0.063779","-0.01531"
"-0.093776","-0.029307","0.72489","-0.11659","-0.12297","-0.01287","-0.00022285","-0.11848","-0.067649","0.015989","-0.0013245","-0.15554","-0.093318","-0.032036","-0.038486","-0.0030146","-0.11338","-0.17061","-0.032697","-0.0035436","0.26084","-0.003823","0.026451","-0.025021","-0.18306","0.17182","-0.0013011","-0.0040064","-0.053246","-0.43658","-0.0045483","4.6065e-005","-0.038547","-0.10631"
