"d12d11d11","d9d9d9","d12d11d12","d9d11d11","d11d12d12","d12d12d12","d11d11d12","d11d11d11"
"0.0020511","-0.00027247","0.014535","-0.00062864","0.021288","0.83382","0.0019708","-0.55142"
"0.41646","0.0033377","0.61504","0.0077007","0.11889","-0.29956","0.40017","-0.4292"
"-0.38128","0.005585","0.24032","0.012886","0.80515","-0.080781","-0.36637","-0.087479"
