"d3d3d4","d3d3d2","d3d3d3","d3d2d2","d3d2d3","d8d7d8","d1d4d5","d8d7d7","d6d5d5","d6d6d6","d6d6d7","d6d6d5","d4d5d4","d4d5d5","d8d9d9","d3d5d5","d3d4d5","d4d4d4","d4d4d5","d5d7d7","d5d6d6","d5d6d5","d4d4d3","d4d3d3","d4d3d4","d3d4d4","d8d8d8","d8d8d7","d9d8d8","d5d4d5","d5d4d4","d5d5d6","d5d5d4","d5d5d5","d2d3d3","d2d2d1","d2d2d3","d2d2d2","d6d2d2","d6d7d7","d2d5d5","d2d1d2","d2d1d1","d2d1d4","d7d6d5","d7d6d6","d1d2d2","d1d1d2","d2d4d5","d1d1d4","d7d8d8","d7d8d7","d1d1d1","d7d7d8","d7d7d7"
"0.0017944","0.0047543","0.17021","0.0066561","0.00095086","0.0019017","0.00047543","0.0099841","1.3133e-18","1.4572e-20","3.02e-34","8.431e-128","0.0016391","7.3641e-11","0.00047543","4.1992e-136","0.00047543","1.9611e-10","1.547e-22","0.00047543","1.8281e-10","1.159e-41","0.0030969","0.0023772","2.9262e-135","0.00074735","0.13312","0.0085578","0.00047543","1.8483e-126","4.667e-13","6.4538e-44","1.7513e-05","8.3623e-17","0.003328","0.0042789","0.0014263","0.094136","0.00047543","8.0507e-35","0.00047543","0.00047543","0.0052298","0.00047543","5.2964e-35","2.7253e-35","0.0038035","0.0023772","0.00047543","0.0014263","0.0085578","0.00047543","0.024723","0.0085578","0.49112"
"3.9378e-06","9.848e-27","4.8214e-17","3.2302e-28","3.3191e-20","1.073e-92","3.2171e-14","3.1662e-88","1.2665e-19","1.8203e-22","2.2981e-26","1.336e-12","0.0003541","0.0070814","1.8324e-92","7.9268e-55","9.6167e-27","0.39089","0.0024654","1.4268e-35","7.2798e-17","9.8873e-20","7.0102e-21","3.2737e-24","1.044e-21","0.00013653","9.2456e-88","5.022e-87","4.4175e-93","0.00031895","0.0047105","8.892e-20","0.003549","0.59049","1.8371e-87","1.2079e-25","5.5804e-89","2.3458e-28","2.3646e-94","3.5722e-26","1.4512e-28","5.0359e-26","9.4447e-24","1.9904e-23","1.1368e-26","1.0622e-26","9.6185e-25","5.3932e-87","3.2356e-22","1.1846e-22","4.0499e-88","2.1365e-86","4.4098e-28","4.4837e-87","4.0743e-33"
"0.0035559","5.1785e-21","2.3338e-13","8.0081e-16","6.94e-08","4.0882e-284","1.9856e-08","8.5246e-279","0.049814","0.54796","0.0029303","0.038093","0.004226","0.031638","6.0909e-289","0.0029303","6.1116e-15","0.0011724","0.021303","9.315e-66","0.041024","0.0087908","0.0072848","3.0611e-13","0.0029303","1.835e-48","9.5333e-279","3.3574e-281","2.4558e-288","0.0029301","0.03584","0.043954","0.043472","0.10136","4.5956e-36","1.1235e-19","3.8394e-274","1.9043e-19","2.3972e-24","0.0029303","1.1742e-40","3.0214e-15","9.2243e-15","7.7191e-84","0.0029303","0.0029303","9.8962e-21","6.1861e-274","3.372e-24","3.4471e-11","4.3172e-282","6.1092e-283","3.1732e-17","4.1399e-282","1.2045e-14"
