"d10d10d11","d9d9d9","d13d12d12","d13d12d13","d10d10d10","d15d15d15","d14d14d13","d11d10d10","d15d15d14","d14d13d13","d14d14d14","d13d13d13","d13d14d14","d12d12d12","d10d15d15","d13d13d12","d12d12d13","d14d15d14","d14d15d15","d9d15d15","d11d11d10","d11d11d11","d12d13d13","d12d13d12"
"0.0012903","1.0349e-289","9.0221e-248","1.8273e-242","0.019356","4.0273e-092","1.1522e-286","0.0012903","1.1253e-281","5.7e-286","4.3786e-282","5.2253e-252","2.5977e-286","5.8461e-245","1.7521e-066","2.3119e-260","6.4067e-260","7.8028e-287","7.3588e-281","3.381e-290","0.0012903","0.97677","1.4074e-249","6.0474e-261"
"1.886e-226","1.7749e-224","0.010084","0.0014406","7.0475e-218","1.2879e-034","0.0014406","9.5848e-226","0.00047936","0.00072029","0.02377","0.30612","0.0021609","0.62305","2.388e-222","0.0093638","0.0064826","2.6564e-014","0.00047628","3.2432e-224","1.1108e-224","3.0752e-226","0.013686","0.00072029"
"3.0109e-060","0.00046802","3.257e-163","1.0521e-163","0.00046745","0.99641","1.515e-164","3.5585e-060","0.00062457","1.6862e-160","2.7003e-008","1.6809e-162","1.1798e-162","1.3244e-158","0.00046802","1.157e-161","1.6527e-162","0.00046802","0.00062657","0.00046802","2.2351e-151","1.1868e-082","3.6794e-162","3.6378e-166"
