"d18d18d18","d18d18d17","d10d10d11","d9d9d9","d20d20d20","d10d10d10","d19d18d18","d18d18d19","d19d18d19","d11d10d10","d19d19d18","d10d9d9","d11d12d12","d19d20d19","d19d19d19","d17d18d18","d6d6d6","d9d9d10","d18d17d17","d18d17d18","d19d19d20","d13d12d12","d14d14d15","d15d15d15","d15d15d14","d14d14d14","d20d20d19","d17d17d18","d12d12d12","d13d13d13","d17d17d17","d20d19d19","d12d12d13","d13d13d12","d20d19d20","d19d20d20","d11d11d10","d8d8d8","d18d19d18","d18d19d19","d11d11d11","d10d11d11","d9d18d18","d7d7d7"
"1.1615e-263","6.3858e-262","7.9501e-13","1.4679e-32","2.7281e-255","0.1472","1.1951e-264","2.5584e-263","7.2791e-264","0.0025049","2.9768e-264","0.0013919","0.00062639","3.3371e-257","1.5955e-260","6.457e-264","0.011275","0.00062639","4.5511e-265","6.6079e-266","3.9126e-256","0.0018792","1.0357e-260","2.2312e-259","9.2848e-260","7.4915e-265","3.0206e-257","1.8727e-266","0.74854","0.079552","1.5576e-256","1.3549e-259","0.0012528","0.00062639","9.6299e-253","3.6633e-256","0.0012476","8.7791e-264","1.3617e-264","1.6848e-263","0.0020286","0.0012475","3.0004e-271","2.5712e-266"
"0.43716","0.00099354","2.9527e-252","1.461e-28","0.0154","5.8545e-244","0.0049677","0.0059613","0.00099354","8.3396e-247","0.0044709","2.4448e-238","4.8532e-252","1.2217e-34","0.17089","0.0019871","1.1445e-246","3.7113e-248","0.0029806","0.00099354","0.0019871","7.1089e-248","6.4632e-243","7.6248e-243","5.3889e-244","1.318e-247","0.0019871","0.00099354","1.2423e-244","1.2877e-247","0.031297","0.00099354","2.967e-248","6.4694e-253","6.9512e-12","0.00099354","1.4853e-248","0.30849","0.00049677","0.0054645","8.1302e-244","2.6526e-247","0.00049677","1.1525e-245"
"5.8694e-59","4.811e-241","0.00050747","0.7947","5.8284e-08","3.0275e-12","2.237e-95","1.3971e-194","9.1627e-88","5.2687e-07","5.5463e-51","0.0009022","5.0196e-88","0.00050747","4.1348e-25","4.7602e-242","5.1811e-244","1.2448e-31","7.705e-244","1.2579e-243","1.405e-13","3.4624e-244","0.00050747","0.0010149","0.00050747","0.030956","1.3274e-15","3.5942e-245","3.2035e-110","6.5847e-243","4.036e-238","3.0475e-63","3.0618e-245","3.6931e-250","0.00050747","1.948e-09","4.1767e-06","1.5482e-242","5.0074e-242","1.1485e-38","0.10036","4.2989e-06","1.4341e-37","0.069523"
