"d9d9d9","d9d9d8","d8d7d7","d9d16d16","d16d17d18","d18d17d17","d16d17d17","d12d13d13","d8d9d9","d14d14d15","d17d16d16","d8d9d8","d14d14d14","d16d15d15","d13d13d13","d13d13d12","d12d11d11","d12d11d12","d8d8d8","d8d8d9","d15d14d15","d9d8d8","d15d14d14","d8d8d7","d10d10d9","d16d16d15","d18d18d18","d16d16d16","d18d16d16","d16d16d17","d10d10d10","d9d11d11","d11d12d12","d11d12d11","d15d16d16","d10d9d10","d18d19d20","d9d9d10","d13d12d12","d15d15d16","d15d15d15","d15d15d14","d20d15d15","d17d17d18","d12d12d12","d17d17d17","d12d12d11","d17d17d16","d12d12d13","d14d15d14","d14d15d15","d7d8d8","d11d11d12","d7d7d8","d11d11d11","d17d20d18","d7d7d7"
"0.34972","7.4029e-07","6.4435e-14","2.5839e-36","5.3791e-142","7.003e-142","1.0276e-140","0.00056135","0.0028524","6.8633e-140","5.2105e-146","2.0041e-19","2.544e-140","1.7989e-141","0.069046","0.0022454","0.0019533","0.00056135","3.6289e-09","0.003858","2.5847e-140","0.0026202","1.0952e-142","0.00056135","0.00056135","5.8701e-141","1.8729e-138","3.4215e-55","3.1768e-139","3.474e-141","0.0011227","7.7923e-33","0.0012578","0.00056135","7.6721e-142","0.00056135","1.4512e-144","0.00056135","0.00056135","8.3367e-143","2.7983e-137","2.6311e-141","2.1687e-145","7.6733e-145","0.47209","7.793e-143","0.0034443","1.7216e-140","0.0022454","3.117e-140","4.0542e-141","2.0396e-14","0.0038999","0.00056135","1.7672e-16","2.4555e-139","0.078589"
"3.0259e-07","0.0054027","0.0012008","0.00060039","0.00060039","0.00060039","0.0023568","6.369e-168","0.0035535","4.6115e-18","0.0018012","0.00060039","1.608e-30","0.0042027","3.2408e-167","3.4753e-168","6.8839e-162","8.7289e-164","0.35183","0.00067683","0.0010401","0.0020007","2.9329e-20","5.174e-20","8.1263e-147","0.0048031","0.00083276","0.51033","0.00060039","0.0012008","8.7553e-147","2.5471e-165","1.6414e-160","3.0416e-160","0.0054035","4.9859e-147","1.7219e-19","1.8846e-146","3.6735e-167","0.0042027","0.073946","2.9374e-154","2.347e-22","9.1526e-19","2.1042e-163","0.019212","7.0624e-158","0.0012008","3.0996e-168","2.311e-153","2.8895e-153","0.0012008","3.1138e-160","7.9159e-21","1.4605e-163","0.00060039","1.8143e-12"
"1.8722e-21","1.6396e-145","2.2512e-147","1.4974e-154","3.1753e-145","4.3324e-145","3.493e-05","6.2082e-147","3.2946e-144","0.00093765","1.1089e-93","3.9601e-153","0.0046883","6.9196e-13","3.8714e-146","2.388e-147","0.0035257","1.3684e-143","1.7677e-145","1.5267e-145","0.00012544","4.1179e-146","0.00093765","2.9224e-146","5.2488e-155","1.0643e-08","0.00028738","1.0505e-25","1.8125e-112","5.8538e-101","5.2486e-156","0.00046883","0.0027001","4.5416e-12","1.5858e-08","1.2908e-155","0.00046883","7.3803e-156","3.6501e-146","2.1893e-17","0.14901","0.00046883","0.00046883","0.00046883","8.7218e-14","3.7257e-16","0.00040515","2.4367e-145","1.3149e-147","0.00046883","0.00046883","2.4969e-148","0.0019","5.4833e-148","0.83217","1.3069e-111","7.3084e-148"
