1:20.0	2:0.0	3:0.0	4:0.0	5:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0
1:18.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:11.0	3:0.0	4:0.0	5:0.0
1:0.0	2:40.0	3:0.0	4:0.0	5:0.0
1:12.0	2:0.0	3:0.0	4:0.0	5:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0
1:21.0	2:0.0	3:0.0	4:0.0	5:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:14.0	3:0.0	4:0.0	5:0.0
1:0.0	2:40.0	3:0.0	4:0.0	5:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:15.0	3:0.0	4:0.0	5:0.0
1:0.0	2:15.0	3:0.0	4:0.0	5:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:13.0	3:0.0	4:0.0	5:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:17.0	3:0.0	4:0.0	5:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:16.0	3:0.0	4:0.0	5:0.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:40.0	3:0.0	4:0.0	5:0.0
1:62.0	2:0.0	3:0.0	4:0.0	5:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0
1:19.0	2:0.0	3:0.0	4:0.0	5:0.0
1:23.0	2:0.0	3:0.0	4:0.0	5:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0
1:0.0	2:36.0	3:1.0	4:2.0	5:1.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0
1:10.0	2:0.0	3:0.0	4:0.0	5:0.0
1:10.0	2:0.0	3:0.0	4:0.0	5:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0
1:10.0	2:0.0	3:0.0	4:0.0	5:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0
1:34.0	2:0.0	3:0.0	4:0.0	5:0.0
1:11.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:17.0	3:0.0	4:0.0	5:0.0
1:0.0	2:30.0	3:0.0	4:0.0	5:0.0
1:15.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:19.0	3:0.0	4:0.0	5:0.0
1:0.0	2:18.0	3:0.0	4:0.0	5:0.0
1:19.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:13.0	3:0.0	4:0.0	5:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:17.0	3:0.0	4:0.0	5:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0
1:0.0	2:19.0	3:0.0	4:0.0	5:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0
