1:0.0	2:0.0	3:0.0	4:0.0	5:20.0	6:0.0	7:0.0	8:0.0
1:1.0	2:0.0	3:1.0	4:1.0	5:9.0	6:1.0	7:0.0	8:17.0
1:0.0	2:0.0	3:0.0	4:0.0	5:20.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:20.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:40.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:9.0	6:1.0	7:1.0	8:7.0
1:0.0	2:0.0	3:0.0	4:0.0	5:11.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:40.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:12.0	6:0.0	7:0.0	8:0.0
1:2.0	2:0.0	3:0.0	4:1.0	5:28.0	6:1.0	7:0.0	8:8.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:21.0
1:0.0	2:0.0	3:0.0	4:0.0	5:20.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:14.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:40.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:14.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:14.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:15.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:15.0	6:0.0	7:0.0	8:0.0
1:1.0	2:0.0	3:0.0	4:1.0	5:9.0	6:0.0	7:0.0	8:3.0
1:0.0	2:0.0	3:0.0	4:0.0	5:13.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:14.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:17.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:30.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:16.0	6:0.0	7:0.0	8:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:17.0	6:0.0	7:0.0	8:0.0
1:1.0	2:0.0	3:0.0	4:0.0	5:38.0	6:0.0	7:0.0	8:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:20.0	6:0.0	7:0.0	8:0.0
