"d4d5d4","d4d5d5","d5d4d4","d3d3d3","d4d3d3","d3d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"-0.0085792","-0.0022337","0.00052294","-0.075116","-0.014759","-0.015277","-0.60571","-0.0018796","0.79177","0.0060036"
"-0.0034515","-0.0023581","-0.0039273","0.97416","0.10174","0.10531","-0.16857","-0.0044018","-0.032612","-0.0062659"
"0.21102","0.016284","0.32679","-0.029969","-0.010822","-0.011202","-0.20555","0.28055","-0.16407","0.8363"
