"d4d5d5","d5d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"-0.0021464","0.00077517","-0.61744","-0.0061628","0.78659","-0.0022332"
"0.56883","0.057119","-0.21069","0.76042","-0.15747","0.16047"
"-0.16664","0.83541","-0.14287","-0.10241","-0.11286","0.4803"
