"d4d5d4","d4d5d5","d3d3d3","d4d4d4","d5d5d4","d5d5d5"
"-0.001781","-0.00098484","-0.19079","-0.58642","-0.0010567","0.78721"
"-0.00095009","-0.00052536","0.97241","-0.22255","-0.00056372","0.069887"
"0.75765","0.41895","-0.028781","-0.17285","0.44954","-0.13289"
