"d5d4d5","d4d5d4","d4d5d5","d4d4d3","d5d4d4","d3d3d3","d3d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"0.0082776","-0.0018828","0.043412","-0.0030717","0.030712","-0.026749","-0.002927","-0.6289","0.016004","0.77481","0.016183"
"-0.00066571","-0.0027269","-0.012059","0.11207","-0.0085804","0.97592","0.10679","-0.13409","-0.0062081","-0.073044","-0.0052735"
"0.031697","0.23635","0.72317","-0.0032398","0.41581","-0.028214","-0.0030873","-0.20242","0.3717","-0.23216","0.11581"
