"d3d3d4","d3d3d2","d3d3d3","d5d4d4","d3d3d1","d3d2d1","d3d2d2","d5d5d4","d1d4d4","d5d5d5","d4d1d4","d3d2d3","d6d5d5","d2d3d4","d6d6d6","d2d3d3","d5d4d1","d4d5d4","d4d5d5","d3d1d1","d3d1d3","d2d1d3","d4d4d4","d4d4d5","d3d1d4","d5d6d6","d4d4d1","d1d2d3","d4d4d3","d1d2d2","d4d3d3","d2d4d4","d4d3d4","d3d4d4","d4d3d1","d1d1d4","d4d3d2","d1d3d4","d1d3d3"
"-0.0070023","0.0021523","-0.3043","0.086429","0.00045765","-0.0058066","-0.0021157","0.028481","0.057046","0.74118","-0.019223","0.0025159","-0.003379","-0.0065662","-0.003379","-0.04547","0.057519","-0.0039322","0.079768","0.022192","0.00036362","0.00029139","-0.57035","0.033637","-0.012652","-0.003379","-0.0054264","-0.0039718","0.027248","-0.04613","-0.028048","0.0030426","-0.014376","-0.052085","0.016834","0.0078083","-0.0067192","-0.0065662","-0.008804"
"0.043908","0.0098107","0.88516","0.012914","0.034464","-0.0012895","0.008208","-0.00052013","-0.011954","0.12834","-0.0088331","0.01406","-0.0041732","-0.0014582","-0.0041732","0.15661","-0.010598","0.0026978","0.024027","0.012961","0.013135","0.0048518","-0.3418","0.0053566","-0.011669","-0.0041732","-0.027231","0.023028","0.034588","0.15787","0.085592","0.013869","0.010262","0.13547","-0.0052243","-0.0053053","0.003295","-0.0014582","-0.0095612"
"-0.0044335","0.0079343","0.02397","-0.097733","0.027096","-0.0070967","0.029725","0.20213","0.69419","-0.13862","-0.039447","-0.028723","-0.0042183","-0.0080252","-0.0042183","0.040259","0.60618","0.022679","0.086183","-0.017157","-0.034779","-0.0078472","-0.055777","-0.072248","-0.0058661","-0.0042183","0.21239","-0.01734","0.0066168","0.010379","-0.082423","0.011216","-0.012559","-0.024382","0.05451","-0.012691","-0.016415","-0.0080252","-0.0025358"
