"d3d3d3","d5d4d4","d4d4d4","d5d5d5","d4d4d5"
"-0.14796","-0.0018934","-0.59551","0.7896","-0.001945"
"0.97984","-0.00063925","-0.19665","0.035288","-0.00065664"
"-0.031131","0.67794","-0.18515","-0.14213","0.69639"
