"d4d5d4","d4d5d5","d3d3d3","d5d4d4","d5d5d4","d4d4d4","d5d5d5","d4d4d5"
"-0.0094946","-0.0018577","-0.31064","-0.021375","0.0051254","-0.54871","0.77564","-0.01509"
"-0.0049456","-0.0042382","0.94131","-0.012434","-0.00017144","-0.29073","0.17073","-0.0085517"
"0.10319","0.29286","-0.031282","0.73762","0.068103","-0.24426","-0.15336","0.52029"
