"d9d9d9","d6d6d6","d8d8d8","d7d7d7"
"-0.17904","-0.026246","-0.13997","0.97348"
"0.71244","-0.091783","-0.69512","0.028613"
"-0.032025","0.98608","-0.16314","-0.0027597"
