"d4d5d4","d4d5d5","d5d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"-0.004035","0.0050353","0.0041725","-0.62071","-0.008407","0.78379","0.016536"
"0.072905","0.47582","0.064973","-0.21682","0.78677","-0.17182","0.26177"
"-0.056408","-0.20426","0.48783","-0.10206","-0.22888","-0.10179","0.80247"
