"d9d9d9","d5d4d4","d9d9d8","d8d9d9","d6d7d7","d3d4d5","d5d5d4","d4d4d4","d4d4d5","d5d5d5","d8d7d7","d5d6d6","d6d5d5","d6d6d6","d6d6d5","d7d8d8","d8d8d8","d8d8d9","d1d3d3","d7d7d8","d8d8d7","d7d7d6","d7d7d7"
"-0.024949","0.0085427","-0.0009598","-0.00040993","0.004972","0.042077","0.0099348","0.065131","0.0202","0.8552","-0.00091974","0.040232","0.0086783","0.45496","0.028131","-0.0022102","-0.22259","-0.00051645","0.04719","-0.00095566","-0.0024595","0.0050343","-0.01032"
"-0.011882","0.00057066","-0.0011898","-0.0005281","0.011199","-0.008358","0.00026804","0.0035274","0.00091688","-0.11332","0.005685","-0.0008008","0.00023414","0.086644","-0.00094452","-0.0030022","-0.30278","-0.00061925","-0.0093737","0.0059071","-0.0033409","0.011339","0.94197"
"0.054072","0.021276","-8.3186e-06","-5.7619e-05","0.024986","-0.065026","0.017975","0.14813","0.042909","-0.4803","-0.0024057","0.044958","0.015701","0.82684","0.025761","-0.00085916","-0.11908","5.2436e-05","-0.072929","-0.0024996","-0.00095609","0.025299","-0.17387"
