"d10d12d12","d9d9d9","d10d10d10","d9d11d11","d11d12d12","d12d12d12","d11d11d12","d11d11d11","d12d12d11"
"-0.00039938","-0.0026615","-0.00020148","0.84674","-0.0018842","-0.0065559","-0.081693","0.11266","-0.51343"
"-0.00042731","7.7355e-006","1.3947e-007","-0.00069232","-0.29827","-0.0036696","0.16387","0.92357","0.17658"
"-0.00013343","-0.0015642","-1","-0.00024293","2.3973e-007","5.789e-007","1.0235e-016","-3.4694e-017","8.5869e-017"
