"X_100.csv","X_101.csv","X_129.csv","X_130.csv","X_131.csv","X_132.csv","X_160.csv","X_161.csv","X_162.csv","X_163.csv","X_191.csv","X_192.csv","X_193.csv","X_194.csv","X_222.csv","X_223.csv","X_224.csv","X_225.csv","X_253.csv","X_254.csv","X_255.csv","X_256.csv","X_284.csv","X_285.csv","X_286.csv","X_287.csv","X_315.csv","X_316.csv","X_317.csv","X_318.csv","X_346.csv","X_347.csv","X_348.csv","X_349.csv","X_36.csv","X_37.csv","X_377.csv","X_378.csv","X_379.csv","X_38.csv","X_380.csv","X_39.csv","X_408.csv","X_409.csv","X_410.csv","X_411.csv","X_439.csv","X_440.csv","X_441.csv","X_442.csv","X_470.csv","X_471.csv","X_472.csv","X_473.csv","X_5.csv","X_501.csv","X_502.csv","X_503.csv","X_504.csv","X_532.csv","X_533.csv","X_534.csv","X_535.csv","X_563.csv","X_564.csv","X_565.csv","X_566.csv","X_594.csv","X_595.csv","X_596.csv","X_597.csv","X_6.csv","X_67.csv","X_68.csv","X_69.csv","X_7.csv","X_70.csv","X_8.csv","X_98.csv","X_99.csv","Y_100.csv","Y_101.csv","Y_129.csv","Y_130.csv","Y_131.csv","Y_132.csv","Y_160.csv","Y_161.csv","Y_162.csv","Y_163.csv","Y_191.csv","Y_192.csv","Y_193.csv","Y_194.csv","Y_222.csv","Y_223.csv","Y_224.csv","Y_225.csv","Y_253.csv","Y_254.csv","Y_255.csv","Y_256.csv","Y_284.csv","Y_285.csv","Y_286.csv","Y_287.csv","Y_315.csv","Y_316.csv","Y_317.csv","Y_318.csv","Y_346.csv","Y_347.csv","Y_348.csv","Y_349.csv","Y_36.csv","Y_37.csv","Y_377.csv","Y_378.csv","Y_379.csv","Y_38.csv","Y_380.csv","Y_39.csv","Y_408.csv","Y_409.csv","Y_410.csv","Y_411.csv","Y_439.csv","Y_440.csv","Y_441.csv","Y_442.csv","Y_470.csv","Y_471.csv","Y_472.csv","Y_473.csv","Y_5.csv","Y_501.csv","Y_502.csv","Y_503.csv","Y_504.csv","Y_532.csv","Y_533.csv","Y_534.csv","Y_535.csv","Y_563.csv","Y_564.csv","Y_565.csv","Y_566.csv","Y_594.csv","Y_595.csv","Y_596.csv","Y_597.csv","Y_6.csv","Y_67.csv","Y_68.csv","Y_69.csv","Y_7.csv","Y_70.csv","Y_8.csv","Y_98.csv","Y_99.csv"
"-0.09779","0.035529","0.013199","0.063144","-0.15983","-0.13373","0.0012743","-0.14256","0.039448","-0.0091333","0.074518","-0.11215","-0.12857","0.082483","0.024733","-0.097071","0.07368","-0.065692","0.11414","-0.070473","0.10669","-0.058674","0.0044625","-0.0069163","0.040975","-0.093908","0.046336","-0.11452","0.020814","-0.14595","-0.013862","-0.1075","-0.13228","0.041695","0.028384","0.077639","0.050456","0.041842","-0.1104","-0.052554","-0.00074834","-0.055161","-0.0065589","-0.04925","-0.073359","-0.042188","-0.095213","-0.07039","-0.032861","-0.00094629","-0.11594","-0.058508","-0.0070754","-0.071778","-0.052148","-0.022522","-0.026331","-0.076218","-0.0065773","-0.058473","0","-0.81111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"-0.10087","0.058848","0.007082","-0.021484","-0.032018","0.073046","-0.12067","-0.083617","-0.089641","0.011301","-0.084497","0.084683","0.06885","-0.013891","-0.14186","0.074382","0.0072697","0.03596","0.017062","0.088698","-0.066526","0.0076125","0.033286","-0.002539","-0.075621","0.050916","-0.0023043","-0.089642","0.12377","0.0084523","0.13648","0.037996","-0.071967","-0.15564","-0.045281","0.065613","-0.068277","0.039634","-0.012634","0.002644","-0.071589","0.043235","-0.075383","0.015539","-0.14143","-0.10682","0.054724","-0.054821","0.097858","-0.022442","-0.1657","-0.12586","-0.011248","-0.02091","0.048928","0.055159","-0.13457","-0.020401","-0.0019116","-0.012473","0.044963","0.0074312","0.091315","0.11414","-0.11376","-0.076165","0.050316","-0.03082","-0.031482","-0.0045621","0.023029","-0.033966","0.00042701","-0.011175","0.012083","0.018448","-0.0051805","0.010122","0.02795","-0.047208","0.014522","-0.01477","0.0035336","0.022179","-0.020464","0.016887","0.016793","0.014802","-0.011512","0.0009256","0.0053641","0.012555","0.0022188","0.0052965","-0.0071444","0.0060206","0.0028533","-0.013203","0.002761","0.0030966","0.0045095","-0.00683","-0.0025149","0.0099132","0.013997","-0.0077755","-0.011755","0.0056873","0.0063332","-0.0039942","-0.0045868","0.003929","0.0033006","-0.0062444","-0.00090941","0.0011025","0.0065517","-0.0060531","3.9193e-005","4.069e-005","-0.010183","0.012732","-0.002544","-0.014179","-0.00053485","0.0031454","0.0091965","0.00022942","-0.007508","-0.014728","-0.0021205","-0.0029073","-0.0026293","0.0027071","0.0018401","0.0055033","-0.0034133","0.00078977","0.0025979","0.0032438","-0.0026605","0.0038767","0.0054623","0.00018199","0.0057727","0.0055704","0.0065518","-0.0080885","6.0281e-005","0.011759","-0.0085161","0.0043693","0.0045177","-0.0064888","0.0033073","-0.0096047","0.011898","0.0090206","-0.76022","0.17885"
"-0.10371","0.052633","-0.0065943","-0.024451","0.10747","0.075474","0.047168","0.0031683","-0.010759","-0.0027151","-0.10185","-0.031164","-0.018071","0.0048574","0.024321","-0.0038174","0.0078072","-0.019926","-0.021627","-0.016952","0.0061644","-0.025073","-0.0253","-0.014209","-0.058214","-0.014753","-0.027109","0.090741","-0.026025","0.063399","-0.064453","-0.10342","0.10238","0.032914","-0.021267","0.0062903","0.10148","-0.047076","0.0049788","-0.026044","-0.063363","-0.0020904","-0.034909","-0.00035654","-0.027391","-0.062973","-0.048906","-0.021795","0.0333","-0.014436","0.00082197","-0.15117","0.015957","0.069112","0.042526","0.049289","-0.077696","0.034104","-0.0159","-0.027928","-0.86356","-0.027596","-0.14867","0.11187","-0.17142","-0.069628","0.0076367","0.0022696","-0.025294","-0.040956","-0.046067","0.010176","0.010351","0.027572","-0.036067","-0.0031036","-0.00797","0.035346","0.028116","-0.00040537","-0.016467","0.022638","-0.065114","0.018739","0.010321","-0.025458","0.0030165","-0.0024726","-0.012602","-0.022906","0.01797","0.0062876","0.013443","0.01117","-0.0030144","0.010057","0.022021","-0.0025797","-0.011576","-0.012574","0.0024495","-0.0039497","-0.0042948","-0.0070227","-0.0087633","0.010823","0.013973","0.016713","-0.0027084","0.001997","0.007065","0.010026","0.0098458","-0.0066247","-0.0041732","-0.0032134","0.0012972","0.0058829","0.0004661","0.0048361","-0.0027045","0.0044317","-0.0011129","-0.0066909","0.016426","-0.0013589","0.0094761","-0.0088973","0.010721","0.0014205","0.0053918","0.016445","-0.010062","0.0050855","-0.0042199","-0.011342","-0.0032398","0.0052773","0.0097103","-0.00091891","0.0026855","0.0052641","0.0012577","-0.0088492","0.0085853","0.020271","-0.012609","0.0051736","0.0028228","-0.00036982","-0.0088152","0.0039884","0.0078107","-0.006168","0.01081","-0.0082681","0.013927","0.00037211","-0.005541","-0.052919"
