"d9d9d9","d9d9d8","d9d10d9","d8d9d9","d10d10d10","d9d10d10","d10d9d9","d5d5d5","d10d9d10","d9d9d10","d8d8d8","d5d9d9","d8d8d9","d9d8d8","d10d10d9"
"7.7627e-25","0.0033445","6.7923e-199","0.0033445","6.728e-196","2.1075e-193","7.5964e-194","3.2303e-194","6.8544e-195","2.3218e-194","0.98662","1.2686e-193","0.0033445","0.0033445","1.6841e-199"
"0.22985","6.899e-23","0.0074755","7.2044e-88","0.63292","0.02849","0.032796","0.0024918","0.0049837","0.028591","1.8963e-55","0.0024918","8.0471e-23","8.569e-88","0.029902"
"0.97131","1.1461e-27","3.9103e-32","3.7176e-09","2.0074e-07","0.008013","0.017041","2.7571e-19","5.4659e-35","0.0036366","6.9746e-25","1.1927e-18","1.0005e-27","3.7583e-09","6.914e-35"
