"d9d9d9","d9d10d9","d9d9d8","d8d9d9","d5d8d8","d9d10d10","d5d5d5","d8d7d8","d8d7d7","d7d8d8","d7d8d7","d10d8d8","d8d8d8","d8d8d9","d7d7d8","d9d8d8","d8d8d7","d7d7d7"
"0.026633","0.00073973","0.0014795","0.003699","1.2184e-06","0.00073967","1.781e-06","0.0011295","1.3268e-07","9.0207e-11","1.114e-11","0.0007398","0.9604","0.0014794","1.9886e-07","0.0029593","2.438e-12","8.636e-10"
"0.00010538","8.4608e-10","7.091e-09","1.6034e-06","1.3178e-13","7.3628e-11","3.2976e-14","0.024605","0.11445","0.057232","0.057232","1.5269e-11","0.0023661","2.4988e-09","0.11445","2.4094e-06","0.057232","0.57232"
"4.4328e-05","7.2314e-06","1.0736e-05","1.7086e-05","0.038501","1.0091e-05","0.038472","0.0016763","6.909e-07","3.4221e-09","1.0709e-10","3.2064e-06","0.92124","1.5114e-05","7.2342e-07","4.2858e-06","4.3106e-09","3.1516e-09"
