"d16d16d15","d18d18d18","d16d16d16","d18d18d17","d16d16d17","d9d9d9","d20d20d20","d19d18d18","d18d18d19","d9d20d20","d19d19d18","d19d19d19","d15d16d16","d17d18d17","d20d18d18","d17d18d18","d18d17d17","d16d17d17","d16d17d16","d19d19d20","d18d18d20","d17d16d16","d17d16d17","d15d15d15","d20d20d19","d17d17d18","d20d19d19","d17d17d17","d17d17d16","d20d19d18","d20d19d20","d19d20d20","d18d19d19"
"0.0063626","1.665e-95","0.91652","1.5251e-10","0.023244","9.4045e-120","6.555e-98","9.2056e-98","4.6887e-99","3.71e-119","1.2019e-112","3.3502e-101","0.0066415","6.1938e-94","2.2599e-107","3.2472e-92","0.0030985","0.0021028","0.0033207","5.4787e-97","4.3864e-108","0.015319","0.0033207","1.0103e-07","1.5633e-97","2.996e-94","2.741e-98","0.00014289","0.019924","8.7664e-111","1.043e-114","1.199e-98","1.5497e-96"
"0.0019973","1.7498e-05","3.996e-13","0.015884","8.1076e-07","2.1229e-63","5.9821e-10","9.1048e-09","1.1056e-08","6.2685e-63","3.7567e-49","9.6142e-14","2.4323e-22","0.0055267","0.0018426","0.0092126","0.00037768","0.0062036","8.7647e-20","9.8615e-10","3.2979e-39","0.004398","4.2652e-39","0.19531","4.3779e-07","0.0055975","2.9135e-11","0.75354","9.5391e-12","8.1837e-63","5.8743e-59","7.4886e-05","1.0823e-05"
"3.7033e-95","0.52797","8.8442e-95","0.00068831","5.9311e-93","0.0018144","0.10342","0.023587","0.012701","0.0018144","0.012701","0.23587","1.9308e-107","1.0952e-06","1.8953e-17","3.7781e-07","0.0051927","7.2618e-85","8.7374e-100","0.009072","0.0018144","2.2645e-92","5.9354e-104","3.5579e-95","0.014515","0.0071889","0.009072","6.5393e-09","1.8382e-89","0.0018144","0.0018144","0.012627","0.016319"
