"d5d6d6","d6d5d5","d6d6d6","d6d6d5","d5d5d6","d5d5d5"
"0.092436","0.13865","0.34269","0.092436","0.32352","0.010262"
"3.7597e-18","2.2057e-16","1","9.5308e-19","1.051e-09","4.2854e-12"
"3.4044e-14","1.2302e-22","2.306e-24","1.7954e-35","2.2431e-35","1"
