"d3d3d2","d9d9d9","d5d4d4","d3d3d3","d3d3d1","d10d10d10","d10d9d9","d5d5d6","d5d5d4","d1d4d4","d5d5d5","d6d5d5","d6d6d6","d6d6d7","d2d3d3","d6d6d5","d9d9d10","d2d2d2","d9d6d6","d7d6d7","d4d5d5","d6d7d7","d9d10d10","d2d1d2","d3d1d1","d3d1d2","d4d4d4","d7d6d6","d4d4d5","d5d6d6","d4d4d3","d4d3d3","d3d4d4","d4d3d1","d7d8d8","d8d8d8","d1d3d3","d8d8d7","d7d7d6","d7d7d7"
"0.0047642","2.6498e-86","0.019057","0.038114","0.0047642","1.2622e-185","9.831e-186","0.0095285","0.019057","0.0047642","0.4002","0.019057","0.17579","1.7163e-76","0.0095285","0.023821","1.0741e-183","0.0095285","4.3053e-53","4.0022e-106","0.014293","3.4544e-57","1.7413e-190","0.0047642","0.0047642","0.0095285","0.12863","2.1907e-78","0.0095285","0.019057","0.014293","0.023821","0.023821","0.0047642","1.7576e-193","1.796e-191","0.0047642","1.0505e-193","1.8545e-57","7.9924e-64"
"4.8345e-142","8.4623e-18","2.6152e-142","1.2712e-138","6.4068e-143","0.049437","0.000762","9.0884e-143","1.1473e-141","2.2046e-144","5.5397e-139","0.0028756","0.0004236","0.017253","2.7096e-144","4.8678e-139","9.2519e-08","9.3112e-141","1.1022e-137","0.0057511","6.3877e-143","0.0053268","0.002875","6.828e-143","2.7925e-141","4.7161e-144","1.8477e-140","0.014378","6.1522e-143","0.0028754","2.2535e-142","1.2635e-142","9.334e-143","1.1478e-138","0.0028756","0.069014","1.5864e-138","0.0028756","0.0037416","0.81954"
"1.0453e-74","0.4574","1.5748e-73","6.0262e-76","3.6577e-73","0.0021593","0.002072","5.9985e-32","2.9675e-30","5.293e-74","2.5883e-23","3.7505e-14","0.53019","3.9709e-19","5.6976e-73","5.3491e-13","0.0011942","9.4008e-86","0.0011942","2.0133e-19","4.0938e-28","0.0013705","2.2709e-07","1.3165e-76","8.1706e-68","9.5076e-75","9.0584e-30","3.086e-23","2.8227e-73","1.8522e-07","8.3504e-70","3.6046e-74","4.676e-75","4.5543e-87","3.1458e-94","8.3532e-90","1.1445e-86","3.9886e-94","0.0044173","1.4717e-15"
