"d5d4d5","d3d3d4","d4d5d4","d4d5d5","d3d3d3","d5d4d4","d5d5d6","d4d4d4","d5d5d4","d5d5d5","d4d4d5","d5d6d6","d6d5d5","d6d6d6","d6d6d5"
"1.2344e-205","8.2162e-213","2.3871e-219","2.3957e-186","2.4402e-213","1.098e-191","0.042254","1.8297e-190","3.4998e-184","1.9251e-07","3.1484e-185","0.014085","0.014085","0.90141","0.028169"
"0.00090958","4.0137e-38","7.6694e-58","2.8785e-05","3.3265e-37","2.8974e-20","1.9517e-17","1.0449e-17","0.00028088","0.9978","0.00098314","2.1754e-15","3.9401e-25","4.3859e-24","1.7045e-15"
"1.9437e-30","0.0044525","0.0044525","0.062194","0.008905","0.040073","1.3439e-120","0.82817","0.029793","6.0986e-05","0.021902","1.3327e-122","2.1604e-129","4.6644e-127","1.8791e-122"
