"d9d9d9","d10d10d10","d11d10d10","d11d11d11","d10d11d11"
"1","3.8622e-37","1.473e-43","2.2918e-44","2.2005e-43"
"7.1456e-59","0.99119","0.0022026","0.0044053","0.0022026"
"1","2.5981e-46","6.1053e-52","1.4892e-52","2.9741e-52"
