"d10d10d11","d9d9d9","d9d9d8","d10d10d10","d11d10d10","d9d11d11","d10d9d9","d11d12d12","d8d7d7","d9d9d10","d7d6d7","d8d9d9","d6d7d7","d9d10d10","d12d12d12","d12d12d11","d12d11d11","d7d8d8","d11d11d10","d8d8d8","d8d8d9","d7d7d8","d10d11d10","d11d11d12","d11d11d11","d10d11d11","d9d8d8","d8d8d7","d10d10d9","d9d8d9","d7d7d6","d7d7d7"
"3.1309e-06","2.0448e-06","1.0424e-13","3.3394e-08","1.6112e-05","0.0013147","7.8992e-11","8.2925e-11","1.6726e-28","4.5592e-10","4.5337e-14","4.0758e-12","9.2997e-13","7.6517e-15","2.9618e-24","7.8445e-08","2.7614e-26","1.2664e-27","3.0986e-09","2.1102e-13","1.1257e-15","1.0598e-12","2.0397e-59","4.99e-17","0.99866","1.6615e-08","4.4073e-14","3.7506e-13","1.2758e-17","1.4064e-25","5.9113e-12","1.2718e-22"
"0.026774","0.18747","0.0066956","0.35822","0.04348","5.4023e-29","0.023435","9.5995e-58","0.0066956","0.013391","0.0033478","0.0066956","0.0033478","0.026782","1.9785e-12","0.0044521","1.0745e-56","0.0066956","0.023435","0.063608","0.013391","0.0033478","0.0033478","0.010043","0.038129","0.043521","0.013391","0.0033478","0.016739","0.0033478","0.0033478","0.043522"
"6.7174e-16","4.2804e-15","1.5181e-114","5.8238e-23","1.0474e-17","9.0973e-117","6.0824e-115","0.0059582","4.5094e-119","3.2935e-116","8.2699e-119","1.2486e-117","1.2741e-117","9.4314e-17","0.98609","0.0049754","0.0029791","9.076e-117","1.1848e-33","2.2717e-114","1.4676e-114","2.915e-117","1.5651e-111","2.6887e-09","1.061e-11","1.8531e-34","2.5527e-116","9.2353e-118","2.0108e-13","7.7569e-120","8.1941e-117","1.6458e-117"
