"1.csv","10.csv","11.csv","12.csv","13.csv","14.csv","15.csv","16.csv","17.csv","18.csv","19.csv","2.csv","20.csv","21.csv","22.csv","23.csv","24.csv","25.csv","26.csv","27.csv","28.csv","29.csv","3.csv","30.csv","31.csv","32.csv","33.csv","34.csv","35.csv","36.csv","37.csv","38.csv","39.csv","4.csv","40.csv","41.csv","42.csv","43.csv","44.csv","45.csv","46.csv","47.csv","48.csv","49.csv","5.csv","50.csv","51.csv","52.csv","53.csv","54.csv","55.csv","56.csv","57.csv","58.csv","59.csv","6.csv","60.csv","7.csv","8.csv","9.csv"
"0.1329","0.14822","-0.14793","0.12976","0.13999","-0.064313","0.1472","0.11571","-0.14102","-0.075862","-0.067872","0.14685","0.15995","0.13168","0.14093","0.1157","-0.13392","0.13354","0.15274","0.15709","0.15872","0.1409","-0.14275","0.15273","0.13576","-0.13615","-0.13133","-0.023601","-0.14686","-0.056195","-0.14056","-0.13755","-0.13597","-0.1406","-0.11303","0.14811","-0.1408","0.074891","-0.11806","0.15673","-0.14769","-0.027948","-0.14445","-0.024707","0.15087","-0.14449","-0.042093","-0.080818","0.14349","0.11806","0.14454","-0.097695","-0.10725","0.10494","-0.14045","-0.14548","-0.13045","0.15813","0.14525","-0.14058"
"-0.11072","-0.1129","-0.12147","-0.11888","-0.11671","0.11109","-0.093943","-0.12273","-0.14605","-0.15421","-0.146","-0.10362","-0.090751","-0.10302","-0.098281","-0.10916","-0.14084","-0.11841","-0.095792","-0.092507","-0.090012","-0.11223","-0.10451","-0.089831","-0.10256","-0.14033","-0.14662","0.22302","-0.11735","0.14856","-0.14135","-0.13457","-0.14444","-0.12627","-0.15773","-0.10694","-0.13792","-0.13497","-0.15825","-0.095915","-0.12157","0.21941","-0.12791","0.22042","-0.10377","-0.12237","0.17378","-0.12062","-0.094972","-0.11507","-0.099444","-0.12871","-0.1408","-0.11465","-0.12648","-0.12745","-0.13033","-0.093859","-0.11035","-0.13101"
"0.082178","-0.049453","0.045959","0.026354","0.026177","0.068773","-0.16763","0.17492","0.00067207","0.069153","0.079679","0.11116","-0.0769","0.10737","0.16707","0.21661","0.11928","0.10984","-0.036332","-0.062142","-0.048473","0.12625","0.061403","0.016466","0.17171","0.11479","0.035735","0.29666","0.068044","0.24982","0.00030923","-0.020891","0.091677","-0.14085","0.027923","0.081266","0.10405","0.071714","0.010251","-0.16447","0.039261","0.26628","-0.047582","0.30886","0.10268","0.00094579","0.35561","-0.04887","0.17136","0.14435","-0.041517","0.17557","0.035291","0.21104","0.039529","-0.064121","0.097206","-0.11207","0.090402","0.047565"
