1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:1.0	7:0.0	8:7.0	9:1.0	10:1.0	11:4.0	12:0.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0	19:2.0	20:1.0	21:0.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:8.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:2.0	18:0.0	19:19.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:3.0	9:1.0	10:1.0	11:9.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:4.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:1.0	3:1.0	4:0.0	5:1.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:7.0	12:0.0	13:0.0	14:0.0	15:1.0	16:0.0	17:1.0	18:0.0	19:6.0	20:1.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:40.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:18.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:11.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:1.0	7:0.0	8:1.0	9:1.0	10:1.0	11:24.0	12:2.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:1.0	19:5.0	20:1.0	21:0.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:12.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:38.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:21.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:1.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:9.0	9:1.0	10:1.0	11:4.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:0.0	20:0.0	21:0.0	22:1.0	23:0.0	24:0.0	25:1.0
