1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:18.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:11.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:12.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:21.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:14.0
1:2.0	2:1.0	3:0.0	4:0.0	5:1.0	6:36.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:14.0
1:2.0	2:1.0	3:0.0	4:1.0	5:0.0	6:10.0
1:15.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:15.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:14.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:13.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:7.0	2:1.0	3:0.0	4:0.0	5:1.0	6:5.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:16.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:62.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:19.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:23.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:10.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:10.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:10.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:34.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:11.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:15.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:19.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:18.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:11.0	2:1.0	3:0.0	4:0.0	5:1.0	6:6.0
1:13.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:1.0	2:0.0	3:1.0	4:0.0	5:1.0	6:11.0
1:17.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:19.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:40.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:20.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
1:30.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0
