"d3d3d4","d5d4d5","d3d3d5","d1d5d5","d3d3d2","d3d3d3","d5d4d4","d3d3d1","d3d2d1","d3d2d2","d5d5d6","d1d4d4","d5d5d4","d5d5d5","d4d1d5","d4d6d7","d6d5d5","d2d3d4","d6d6d6","d2d3d3","d6d6d5","d2d2d1","d2d2d3","d2d2d2","d4d5d4","d4d5d5","d3d1d1","d2d1d2","d2d1d1","d2d1d3","d3d1d2","d4d4d4","d4d4d5","d4d4d1","d5d6d6","d1d2d3","d4d4d3","d1d2d2","d4d3d3","d1d1d2","d2d4d4","d3d4d4","d1d1d1","d1d3d4","d1d3d3","d7d1d3"
"4.8329e-11","0.0038045","6.7945e-38","8.8254e-08","8.3274e-13","1.5832e-21","0.033417","8.3958e-30","1.6966e-23","9.7996e-07","5.958e-50","0.0019022","0.021868","4.4523e-05","1.7341e-34","0.0019022","9.2418e-41","0.0030013","5.1589e-41","8.58e-35","2.1301e-44","2.0479e-40","6.466e-24","0.0008402","0.0095107","0.03052","0.0019022","5.8963e-11","1.5959e-05","3.6311e-10","0.0019022","0.87347","0.012027","3.9741e-07","4.115e-41","1.1259e-25","3.1535e-10","7.5774e-28","4.6854e-05","1.167e-65","0.0019022","2.4061e-08","1.918e-66","1.0634e-11","2.137e-05","0.0019022"
"1.9938e-10","1.4189e-84","1.5544e-122","0.0015105","2.1136e-21","4.2174e-36","0.0062221","1.2988e-31","8.6285e-22","8.0736e-35","0.0045316","6.1514e-32","0.012846","0.90629","0.0015105","4.1633e-48","0.0060421","1.96e-32","0.013595","9.2434e-49","0.0034831","8.1127e-51","1.4899e-62","1.9006e-32","7.305e-24","0.016549","6.6535e-19","2.8793e-37","1.3365e-10","4.7415e-52","1.8942e-20","2.7011e-05","0.01882","0.0015102","0.0060246","1.2169e-22","9.0603e-06","3.4219e-67","4.8043e-17","2.6727e-33","7.5368e-20","3.5447e-12","5.6681e-33","6.5023e-59","0.0010338","6.5669e-48"
"0.062715","1.8902e-109","0.0048242","1.8382e-134","0.053066","0.2798","0.025635","0.0096484","0.024121","0.028943","8.1396e-49","5.4475e-22","9.9179e-14","6.3186e-10","9.2086e-114","1.5958e-68","2.6302e-42","0.0020369","2.0191e-35","0.024121","0.0033487","0.014473","0.019297","0.031639","1.4346e-06","1.9328e-07","3.6136e-49","0.033769","0.028905","0.0048242","4.5696e-78","0.0087087","0.039645","1.2826e-132","5.616e-05","0.028945","0.06751","0.014473","0.086717","0.0048242","1.9448e-77","0.067539","0.0048242","0.0096484","0.015941","1.0349e-68"
