"d9d9d9","d9d9d8","d8d9d9","d6d7d7","d8d9d8","d7d6d6","d8d7d7","d6d6d6","d7d8d8","d8d8d8","d8d8d9","d7d7d8","d9d8d8","d8d8d7","d7d7d7"
"3.8708e-14","7.4284e-10","2.0078e-09","1.8105e-19","0.0014961","7.0552e-19","0.0016636","6.4446e-28","4.4266e-15","0.99215","1.107e-14","0.0033273","1.6969e-15","0.001363","1.4173e-10"
"0.7476","7.0251e-54","1.8154e-53","0.0031319","1.5485e-69","0.0031319","2.9285e-11","0.020358","0.001566","3.0248e-18","1.1242e-41","5.8224e-10","5.0212e-61","0.001849","0.22237"
"0.66697","0.03219","0.019314","4.0572e-95","0.00064839","3.7458e-95","1.885e-57","4.4451e-104","6.4397e-92","0.20362","0.045066","4.8794e-59","0.03219","5.8908e-93","2.5158e-60"
