"d5d4d5","d4d5d4","d4d5d5","d4d4d3","d5d4d4","d3d3d3","d3d4d4","d4d4d4","d5d5d4","d5d5d5","d4d4d5"
"0.0023116","1.4903e-20","0.012888","3.1649e-62","0.00033922","1.2459e-60","2.2236e-61","0.00017963","0.0044524","0.97959","0.00024256"
"5.9765e-12","0.02025","0.085299","3.6114e-86","0.12002","2.4457e-85","3.4143e-86","0.54967","0.061499","0.073201","0.090064"
"1.0127e-40","1.7473e-22","2.7026e-11","0.0011579","1.0928e-14","0.012737","0.0011579","0.98495","9.1489e-19","3.2246e-16","5.1379e-17"
