"d4d5d4","d4d5d5","d3d3d3","d4d4d4","d5d5d4","d5d5d5"
"-0.0013149","-1.2758e-16","0.0046025","-0.77665","0.17827","0.60416"
"-0.00072709","-1.2207e-16","0.002545","-0.42946","-0.8515","-0.30083"
"1.1102e-16","-1","5.5511e-17","1.1102e-16","-1.9429e-16","-1.1102e-16"
